payment_id,subscription_id,payment_date,amount_cents,status
1,101,2023-01-15,49900,success
2,101,2023-02-15,49900,success
3,101,2023-03-15,49900,success
4,102,2023-02-03,99900,success
5,102,2023-03-03,99900,success
6,103,2023-02-20,49900,success
7,103,2023-03-20,49900,success
8,103,2023-04-20,49900,failed
9,104,2023-03-05,99900,success
10,105,2023-03-18,49900,success
11,105,2023-04-18,49900,success
12,106,2023-04-02,199900,success
13,107,2023-04-25,99900,success
14,108,2023-05-10,49900,success
15,109,2023-06-01,99900,success
16,110,2023-06-15,199900,success
17,111,2023-08-01,99900,success
18,112,2023-06-01,49900,success
