subscription_id,customer_id,plan_type,start_date,end_date,monthly_price_cents,status
101,1,basic,2023-01-15,,49900,active
102,2,pro,2023-02-03,,99900,active
103,3,basic,2023-02-20,2023-05-20,49900,canceled
104,4,pro,2023-03-05,,99900,active
105,5,basic,2023-03-18,2023-07-18,49900,canceled
106,6,enterprise,2023-04-02,,199900,active
107,7,pro,2023-04-25,,99900,active
108,8,basic,2023-05-10,2023-08-10,49900,canceled
109,9,pro,2023-06-01,,99900,active
110,10,enterprise,2023-06-15,,199900,active
111,5,pro,2023-08-01,,99900,active
112,3,basic,2023-06-01,,49900,active
